binomial,BM_kg,BMR_W,MaxLon_yr,BMR_residual,lon_residual,BMR_z,lon_z,PES,source
Nasua narica,3.67,6.733,26.4,-0.0404,0.235,-0.2288,0.8614,0.6326,AnAge
Petaurus breviceps,0.1293,0.517,17.8,-0.1053,0.3352,-0.5967,1.2286,0.632,AnAge
Neovison vison,0.66,2.722,11.4,0.1046,0.0095,0.5925,0.0348,0.6273,AnAge
Alces alces,325.0,286.847,27.0,0.1823,-0.1189,1.0325,-0.4357,0.5967,AnAge
Fossa fossana,2.26,5.0226,21.4,-0.0156,0.1832,-0.0881,0.6713,0.5832,AnAge
Vulpes velox,1.769,4.948,15.9,0.0548,0.074,0.3104,0.2713,0.5817,AnAge
Macroscelides proboscideus,0.039,0.292,8.7,0.0226,0.1216,0.1281,0.4455,0.5736,AnAge
Sorex ornatus,0.0097,0.292,1.42,0.4592,-0.5538,2.601,-2.0297,0.5713,AnAge
Tarsius tarsier,0.173,0.831,12.0,0.0094,0.1404,0.0534,0.5145,0.5679,AnAge
Marmota flaviventris,4.295,8.626,21.2,0.0179,0.127,0.1012,0.4655,0.5667,AnAge
Vulpes macrotis,1.769,4.928,15.8,0.053,0.0713,0.3005,0.2612,0.5617,AnAge
Meriones unguiculatus,0.0648,0.546,6.3,0.1351,-0.0598,0.7654,-0.2192,0.5462,AnAge
Philantomba monticola,4.2,10.075,15.9,0.0923,0.0039,0.5229,0.0142,0.5372,AnAge
Tragulus javanicus,1.6155,4.883,14.0,0.0775,0.0261,0.4392,0.0957,0.5349,AnAge
Ammospermophilus leucurus,0.0941,0.511,11.2,-0.0107,0.1598,-0.0606,0.5857,0.5251,AnAge
Lepus californicus,2.3,7.314,11.8,0.1422,-0.0768,0.8053,-0.2814,0.5239,AnAge
Oreamnos americanus,32.0,46.414,20.8,0.1186,-0.0442,0.6717,-0.1618,0.5099,AnAge
Nyctereutes procyonoides,4.215,9.7111,16.6,0.0752,0.0223,0.4261,0.0818,0.5079,AnAge
Pteropus pumilus,0.1942,0.705,17.2,-0.0983,0.2874,-0.5566,1.0531,0.4966,AnAge
Panthera tigris,137.9,133.859,26.3,0.1203,-0.0608,0.6812,-0.2227,0.4585,AnAge
Lepus americanus,1.6034,6.708,8.0,0.2178,-0.2163,1.2337,-0.7928,0.4409,AnAge
Myoprocta acouchy,0.914,2.804,14.8,0.0153,0.0965,0.0869,0.3535,0.4404,AnAge
Mystromys albicaudatus,0.0938,0.707,6.3,0.1313,-0.0898,0.7437,-0.3291,0.4146,AnAge
Panthera leo,98.0,94.58,28.0,0.0766,-0.0059,0.4337,-0.0214,0.4123,AnAge
Dipodomys merriami,0.0376,0.246,9.7,-0.0404,0.1718,-0.2286,0.6296,0.4009,AnAge
Dasyprocta azarae,3.849,10.521,11.8,0.1385,-0.1185,0.7846,-0.4345,0.3501,AnAge
Chinchilla lanigera,0.4367,1.31,17.2,-0.0834,0.2216,-0.4726,0.8122,0.3396,AnAge
Jaculus jaculus,0.075,0.515,7.3,0.0639,-0.0077,0.3618,-0.0281,0.3336,AnAge
Ochrotomys nuttalli,0.0195,0.151,8.4,-0.0463,0.1625,-0.2623,0.5957,0.3334,AnAge
Tamias amoenus,0.0557,0.5,5.17,0.1444,-0.1337,0.8178,-0.4898,0.3279,AnAge
Petauroides volans,1.1405,3.191,15.0,0.002,0.0843,0.0115,0.309,0.3205,AnAge
Sorex coronatus,0.0091,0.29,1.12,0.4762,-0.6488,2.6976,-2.3776,0.3199,AnAge
Dipodomys heermanni,0.0633,0.408,8.3,0.0159,0.0618,0.0903,0.2266,0.3169,AnAge
Peromyscus eremicus,0.021,0.173,7.4,-0.0105,0.1015,-0.0594,0.3719,0.3125,AnAge
Microtus pinetorum,0.0248,0.305,3.8,0.1836,-0.2015,1.0398,-0.7383,0.3015,AnAge
Elephantulus intufi,0.0465,0.29,9.3,-0.0356,0.1363,-0.2014,0.4994,0.298,AnAge
Carlito syrichta,0.113,0.43,16.0,-0.1431,0.2999,-0.8104,1.099,0.2886,AnAge
Chaetodipus fallax,0.0196,0.15,8.3,-0.0508,0.1569,-0.2877,0.5751,0.2874,AnAge
Peromyscus truei,0.0331,0.307,5.4,0.0958,-0.0723,0.5429,-0.2648,0.278,AnAge
Peromyscus crinitus,0.0205,0.162,7.7,-0.0315,0.1207,-0.1782,0.4424,0.2642,AnAge
Paradoxurus hermaphroditus,3.2826,5.534,24.5,-0.0906,0.2116,-0.513,0.7757,0.2627,AnAge
Lasiopodomys brandtii,0.0402,0.428,4.1,0.1792,-0.2076,1.0149,-0.7609,0.2539,AnAge
Antilocapra americana,34.7793,50.973,17.0,0.1332,-0.1385,0.7542,-0.5077,0.2465,AnAge
Crocidura russula,0.0108,0.143,4.0,0.1154,-0.1117,0.6539,-0.4095,0.2444,AnAge
Scalopus aquaticus,0.048,0.378,6.2,0.0696,-0.0424,0.3941,-0.1554,0.2387,AnAge
Vulpes lagopus,3.6,7.665,16.3,0.022,0.0272,0.1244,0.0996,0.224,AnAge
Coendou prehensilis,3.28,5.123,26.6,-0.1238,0.2474,-0.7014,0.9068,0.2054,AnAge
Perognathus flavus,0.0083,0.097,5.0,0.0295,0.0065,0.167,0.0239,0.1909,AnAge
Tupaia glis,0.123,0.522,12.4,-0.0855,0.1823,-0.4842,0.6681,0.1839,AnAge
Microtus ochrogaster,0.0482,0.41,5.3,0.1036,-0.1109,0.5866,-0.4063,0.1803,AnAge
Cavia porcellus,0.6391,2.13,12.0,0.0082,0.0344,0.0464,0.126,0.1724,AnAge
Saccopteryx bilineata,0.0078,0.081,6.0,-0.0293,0.0907,-0.166,0.3326,0.1666,AnAge
